,Country,Date Start,Description of measure implemented
339,Bosnia and Herzegovina,"Mar 11, 2020",Serb region shut all schools and universities and banned public events from March 11 to March 30 to help stem the spread of the infection.
931,Denmark,"Mar 11, 2020","On 11 March 2020, the first hospitals began postponing non-essential operations as a preparation for future cases of COVID-19,"
936,Denmark,"Mar 11, 2020","Initially, the authorities strongly recommend that all events with more than one thousand people either are cancelled or postponed, but on 11 March the limit was lowered to one hundred people;"
937,Denmark,"Mar 11, 2020","On 10–11 March, Aalborg University Hospital, Regionshospital North Jutland Hjørring and Zealand University Hospital Roskilde introduced ""drive-through"" test facilities. On 11 March, the Danish Health Authority announced a change of strategy, which means that only people hospitalized with severe signs of respiratory illness or shortness of breath, will be examined for COVID-19 infection. As a consequence, COVID-19 is being under-reported and health officials expect the actual number to be significantly higher than the number reported."
919,Croatia,"Mar 11, 2020",The same day HNS announced that Croatia national football team would not play its friendly games against Switzerland and Portugal scheduled for 26 and 30 March in Doha due to the virus pandemic in Qatar.
918,Croatia,"Mar 11, 2020","Croatian Football Federation (HNS) on 11 March ordered that all Prva HNL matches would be played behind closed doors until 31 March. The measure applied to all competitions under HNS, as well as all UEFA qualifying matches hosted by Croatia"
846,Mexico,"Mar 11, 2020",First quarantines - a man returned Europe and 8 other people he was in contact with quarantined
806,Albania,"Mar 11, 2020","The Muslim community announced on the 11th that all sermons, prayers and other activities in jumas and mosques were canceled, and told all believers to quarantine themselves and observe prayers at home in private, and rigorously follow and observe the recommendations of the World Health Organization"
807,Albania,"Mar 11, 2020","On the night of the 11th, police vehicles played messages on loudspeakers telling citizens to return inside."
943,Denmark,"Mar 11, 2020","From 11 March, all flights from high risk regions were cancelled"
1166,Spain,"Mar 11, 2020",The regional government of La Rioja announced the suspension of classes for a period of two weeks
779,Italy,"Mar 11, 2020","On 11 March, the government allocated 25 billion euros for the emergency "
656,US:Washington,"Mar 11, 2020",ban of mass gatherings
1054,Greece,"Mar 11, 2020","On 11 March, the Prime Minister of Greece Kyriakos Mitsotakis, in a nationally televised address, told the public to follow the instructions of doctors and experts, and the Church of Greece to cooperate in enforcing the public health regulations."
778,Italy,"Mar 11, 2020","In the evening, Conte announced a tightening of the lockdown, with all commercial and retail businesses except those providing essential services, like grocery stores and pharmacies, closed down. He also appointed Domenico Arcuri as Delegated Commissioner for the Emergency. Arcuri will cooperate with Commissioner Angelo Borrelli with the aim of strengthening the distribution of intensive care equipment."
130,Hong Kong,"Mar 11, 2020","The Education Bureau announced earlier that this year's HKDSE candidates would be provided masks distributed through the Hong Kong Examinations and Assessment Authority (HKEAA). These masks were supplied by the Government Logistics Department (GLD), including one batch from Mainland China with an expiry date of August 2023, and another batch from Russia with an expiry date of December 2024. Upon receipt of these masks, GLD conducted random checks in accordance with the established procedures and found them in order"
861,Croatia,"Mar 11, 2020","On 11 March, Rijeka Film Festival and the Role of Cultural Heritage in Socioeconomic Development and the Preservation of Democratic Values conference were both postponed until further notice."
1134,Hungary,"Mar 11, 2020",All indoor events larger than 100 and outdoor events above 500 will be prohibited. Gatherings of large groups will be banned to stop the spread of coronavirus.
1135,Hungary,"Mar 11, 2020",All indoor events larger than 100 and outdoor events above 500 will be prohibited. Gatherings of large groups will be banned to stop the spread of coronavirus.
418,Moldova,"Mar 11, 2020","All schools closed, including pre-schools"
628,US: Oregon,"Mar 11, 2020",Pulic health emergency
977,South Korea,"Mar 11, 2020",Mask Supply App service commenced- informs and alerts local pharmacies mask supply situations to citizens  
1136,Hungary,"Mar 11, 2020",Universities will be temporarily closed. Education may be continued via e-learning.
869,Croatia,"Mar 11, 2020","On 11 March, the annual music award ceremony Porin, set to be held on 27 March in Centar Zamet in Rijeka, was postponed until further notice."
1350,Cyprus,"Mar 11, 2020","I appeal to all of our compatriots living either abroad or in Cyprus, to avoid unnecessary travel."
1676,US: Rhode Island,"Mar 11, 2020","The University of Rhode Island cancels all in-person classes through April 3, with classes resuming online on March 23"
1346,Cyprus,"Mar 11, 2020","On 11 March, Cyprus confirmed four more cases of COVID-19: two Greek Cypriots who returned from the UK the day before and one taxi driver from Paphos, whose grandson was also hospitalised.[2] All three men were taken to Famagusta General Hospital. The fourth case was in self-isolation at home."
655,US:Washington,"Mar 11, 2020",regular deep cleaning of public transport announced 
1547,US:Arkansas,"Mar 11, 2020",First case reported
297,Austria,"Mar 10, 2020",Travel restrictions for people coming from Italy are established.
296,Austria,"Mar 10, 2020",All outdoor events with more than 500 people and all indoor events with more than 100 people are canceled.
298,Austria,"Mar 10, 2020",The government asked the general public to avoid social contacts and announced even further restrictions to be made soon.[11]
1524,US: Connecticut,"Mar 10, 2020",governor Ned Lamont declared a civil preparedness and public health emergency in response to the coronavirus
76,Slovenia,"Mar 10, 2020",land border with Italy was closed for all but freight transport
1480,Slovakia,"Mar 10, 2020","On 10 March, Slovakia suspended all sports events for two weeks, 17 days before the Republic of Ireland were due to play the country's football team in Bratislava in their UEFA Euro 2020 play-off."
1379,Austria,"Mar 10, 2020",All outdoor events with more than 500 people and all indoor events with more than 100 people are canceled.
599,Russia,"Mar 10, 2020","Moscow Mayor Sergei Sobyanin signed a decree for banning mass events in Moscow with more than 5,000 participants."
265,Czechia,"Mar 10, 2020","another extraordinary measure was issued, ordering all persons not subject to the extraordinary measure of 7 March 2020 on compulsory quarantine, after crossing the national border of the Czech Republic, to undergo control of symptoms of infectious diseases. At the same time, it directs all people who have been diagnosed with symptoms to provide the necessary assistance to healthcare professionals."
340,Bosnia and Herzegovina,"Mar 10, 2020",entry to travelers from countries most affected by the coronavirus outbreak
1280,US:New Jersey,"Mar 10, 2020","Rutgers University, New Jersey Institute of Technology, Seton Hall, Stevens Institute of Technology, The College of New Jersey, and Monmouth University announced that all of their classes would be switched to an online format."
1185,Mexico,"Mar 10, 2020","The report says: “As of Tuesday night, the Mexican Health Ministry said it had performed 278 tests.”"
279,Czechia,"Mar 10, 2020",All mass events with more than 100 people were banned at the same time
269,Czechia,"Mar 10, 2020",Information leaflets about coronavirus in 4 languages began to be distributed and the temperature of passengers is measured. Distribution of leaflets was also ensured in train connections.
1163,Czechia,"Mar 10, 2020",1% of citizens in public wearing masks
351,Bulgaria,"Mar 10, 2020","Two additional cases were confirmed in Sofia on 10 March 2020: a 74-year-old man and his 66-year-old wife. Both have arrived from Lom two weeks prior to admission.[9][10] The woman died on the next day, becoming the first COVID-19 victim in the country.[11]"
23,South Korea,"Mar 10, 2020","Ministry of Land, Infrastructure and Transport, Ministry of Science and ICT & Future Planning and KCDC co-developed source tracing data hub for COVID-19 in Korea for quick and accurate data analysis- will officially activate from 16 March. "
563,Czechia,"Mar 10, 2020","On Monday, March 9, 2020, the Security Council met. Subsequently, the Ministry of Health, based on an ongoing assessment of the situation, issued an extraordinary measure ordering, with effect from 10 March 2020, all providers of inpatient health services and social services facilities to ban visitors. The only exception is inpatient care, which is provided to minors, patients with limited legal capacity and parents. The ban on visits also does not apply to hospices, including services for terminally terminally ill patients."
357,Bulgaria,"Mar 10, 2020","Bulgarian biotechnology company Micar21 has been developing a general Coronavirus vaccine in the past four years, and announced that it will begin clinical trials of a SARS-CoV-2 vaccine based on this research in mid-2020."
260,Czechia,"Mar 10, 2020","personal participation in teaching at primary, secondary, tertiary and tertiary professional schools was also prohibited"
1226,Turkey,"Mar 10, 2020","We provide number of tests as reported by Wikipedia, and could not confirm ourselves (link)"
365,Bulgaria,"Mar 10, 2020",Sofia Municipality has increased disinfections to four times daily at public institutions and in public transport
135,Hong Kong,"Mar 10, 2020","In view of the health risks arising from the outbreak of the COVID-19 in the Bourgogne-Franche-Comte and Grand Est regions in France, the North Rhine-Westphalia region in Germany, Hokkaido in Japan as well as the La Rioja, Madrid and Pais Vasco regions in Spain, the HK gov today (March 10) issued the Red Outbound Travel Alert (OTA) on the aforementioned regions. 
As well, the Government expanded the Red OTA currently in force on Emilia-Romagna, Lombardy and Veneto regions in Italy to cover the entire country."
1542,US: Massachussets,"Mar 10, 2020",most schools and universities shut
338,Bosnia and Herzegovina,"Mar 10, 2020",Authorities in the capital Sarajevo also banned public gatherings with more than 300 people until further notice and ordered the closure of medical schools and faculty.
320,Spain,"Mar 10, 2020",the Basque Government announced the same measure would be enforced in the municipality of Vitoria-Gasteiz
619,Romania,"Mar 10, 2020",All bus rides and rail transport to and from Italy were suspended from 10 March until 31 March.
318,Spain,"Mar 10, 2020",the Government of Spain decreed the immediate cancellation of all direct flights from Italy to Spain until 25 March
1403,US:New York,"Mar 10, 2020",Governor Cuomo announced a containment zone in the city of New Rochelle from March 12 to 25
1240,Singapore,"Mar 10, 2020",All social activities for seniors organised by government agencies will be suspended for 14 days
1597,Brazil,"Mar 10, 2020",Mechanical Turk data n=70
266,Czechia,"Mar 10, 2020","the Security Council met. Subsequently, the Ministry of Health, based on an ongoing assessment of the situation, issued an extraordinary measure ordering, with effect from 10 March 2020, all providers of inpatient health services and social services facilities to ban visitors."
353,Bosnia and Herzegovina,"Mar 10, 2020",Bosnia’s Football Association postponed ticket sales for the Euro 2020 qualifying playoff semi-final between Bosnia and Northern Ireland on March 26 due to the coronavirus outbreak.
469,Ireland,"Mar 10, 2020",Flights to and from some affected regions were suspended.[48]
739,Germany,"Mar 10, 2020","the federal government's crisis team recommends that all major events with more than 1,000 expected participants be canceled"
797,Albania,"Mar 10, 2020","Bonuses of 1000 euros were added to the salaries of medical staff, and a 500 euro bonus was added to the salary of medical workers."
798,Albania,"Mar 10, 2020","On 10 March, President Ilir Meta called for retired Albanian doctors to re-enter the work force."
800,Albania,"Mar 10, 2020","Rama also announced an expansion of the areas from which arrivals must self-isolate, to newly include all of Italy as well as all of Greece, and ordered police to patrol the streets, detain any violators, and penalize them with a 5000 euro fine. The army and police mobilized to patrol the streets and search for any citizens with self-isolation orders who could be violating them"
941,Denmark,"Mar 10, 2020","On 10 March, the authorities recommended that people that use public transportation should attempt to reduce their travel in peak hours, if possible people should walk or bicycle shorter distances instead, and anyone feeling sick in any way or suspecting that they might have COVID-19 should not use public transportation. In an attempt of increasing the space between people using public transportation, more busses and trains were added to the schedules, and there were stricter limits on the number of passengers allowed in each. From 12 March, all intercity train rides would be limited to people with seat reservations."
802,Albania,"Mar 10, 2020",The disinfectation of all public places was also underway.
803,Albania,"Mar 10, 2020",The retired would get their pensions delivered at home with no charge.
507,Moldova,"Mar 10, 2020",All foreigners coming from the countries affected by coronavirus have been banned from entering Moldova by plane
446,Greece,"Mar 10, 2020","Starting on March 10, the educational institutions of all levels were closed for 14 days"
789,Albania,"Mar 10, 2020","On 10 March, all citizens were alerted of the new lockdown policy by text from Prime Minister Edi Rama, who said the policy was regrettable but necessary, with the text also telling them to be safe, wash their hands and avoid fake news, while also announcing a vehicle ban. Use of private cars and intercity transport vehicles was banned in Tirana and Durres, and all private and public transport was banned in Shkodra, Lezha, Elbasani, Lushnja, Fieri and Vlora, with the only vehicles allowed being ambulances and vehicles for delivering essentials"
483,US: Florida,"Mar 10, 2020",University of Florida: classes online for Spring semeter
904,US:N Carolina,"Mar 10, 2020",state of emergency
474,Jersey,"Mar 10, 2020","On 10 March, the first case was confirmed. The infected was a person who had travelled from Italy.[1] A second case was confirmed on 11 March."
467,Vatican City,"Mar 10, 2020",Italy lockdown measures are also applied to the Vatican City.
465,Ireland,"Mar 10, 2020",Lectures from Trinity College Dublin were cancelled and delivered online.
723,Austria,"Mar 10, 2020",On 10 March 2020 government announced that all universities will close their classes at the latest by 16 March.
458,Macedonia,"Mar 10, 2020",temporary 2 week closure of all education institutes (from elementary schools to universities) that might be further extended
658,US:Washington,"Mar 10, 2020",drive-in testing at University of Washington
801,Albania,"Mar 10, 2020","Bars, restaurants, gyms, discos, and venues with live music were all ordered to close"
537,Norway,"Mar 10, 2020","By 10 March the number of confirmed cases in Norway had spiked to 400, and a rising number of those cases could not be traced to foreign travel or any known person infected, indicating community transmission had started in Norway"
398,Hungary,"Mar 09, 2020",Budapest Ferenc Liszt International Airport does not allow any plane to land coming from Northern Italy
736,Germany,"Mar 09, 2020","Minister Spahn appealed to everyone's personal responsibility to minimize the risk of infection - for example, travel less if possible, work from home or avoid public transport."
79,Slovenia,"Mar 09, 2020",government restricted public gatherings in closed spaces to events of 100 people or more
284,Spain,"Mar 09, 2020",temporarily closing all educational institutions in Madrid and other hard-hit regions.
737,Germany,"Mar 09, 2020",Federal Minister of Health Jens Spahn encourages to consistently cancel large events with more than 1000 participants until further notice.
780,Italy,"Mar 09, 2020","On 9 March, the government announced that all sporting events in Italy would be cancelled until at least 3 April, but the ban does not include Italian clubs or national teams participating in international competitions. In the evening, Conte announced in a press conference that all measures previously applied only in the so-called ""red zones"" had been extended to the whole country, putting approximately 60 million people in lockdown. Conte later proceeded to officially sign the new executive decree."
694,US:Washington,"Mar 09, 2020",COVID19 test compulsory in for staf and visitorsf in nursing homes
695,US:Washington,"Mar 09, 2020",workers who have reduced hours or temporary unemployment due to the outbreak are eligible for unemployment benefits
1111,Iraq,"Mar 09, 2020",Iraqi authorities also announced the closure of Najaf Governorate.
912,US:Georgia,"Mar 09, 2020","Governor Kemp announced the preparation of Hard Labor Creek State Park, located in Morgan County, as a quarantine destination for diagnosed individuals ""without other options"""
1640,US:Iowa,"Mar 09, 2020",Proclamation of Disaster Emergency signed by Governor
425,Greece,"Mar 09, 2020","On March 9, all school trips were banned,"
442,Guernsey,"Mar 09, 2020","On 9 March, the first case was confirmed. The infected was a person who had travelled from Tenerife."
77,Slovenia,"Mar 09, 2020",government restricted public gatherings in open spaces to events of 500 people or more
363,Cyprus,"Mar 09, 2020","On 9 March 2020, Cyprus confirmed its first two cases of coronavirus: a 25-year-old man from Limassol who had returned from Italy and a 64-year-old health professional from Nicosia who had returned from the United Kingdom.[1]"
424,Greece,"Mar 09, 2020",all school championships were cancelled.
466,Ireland,"Mar 09, 2020","Many sporting events, including Ireland's final two rugby Six Nations fixtures against Italy and France, Gaelic Athletic Association and League of Ireland games, were postponed or cancelled altogether."
90,Israel,"Mar 09, 2020","Prime Minister Benjamin Netanyahu declared a mandatory quarantine for all people entering Israel, requiring all entrants to quarantine themselves for fourteen days upon entering the country."
1584,US: Massachussets,"Mar 09, 2020","Biogen tells attendees to prep for quarantine, isolate from loved ones"
1231,Singapore,"Mar 09, 2020","Short-term visitors now have to pay for treatment. Treatment remains free for Singaporeans, PRs, and long-term pass holders. Testing remains free for everyone. "
1674,US: Rhode Island,"Mar 09, 2020",Governor Gina Raimondo declares a state of emergency
417,Greece,"Mar 09, 2020",all sports games were to be played with no fans attending
541,Romania,"Mar 09, 2020","The officials announced the cessation of flights to and from Italy, at all airports in the country."
673,Iran,"Mar 09, 2020","Government temporarily release 70,000 prisoners from jail to combat spread"
1290,Nepal,"Mar 09, 2020","The government expanded the suspension of visa-on-arrival service to include three additional countries — France, Germany and Spain."
24,South Korea,"Mar 09, 2020","Released COVID-19 preventive strategy encourage all people to wear masks, thorough hand-sanitization and social distancing"
71,San Marino,"Mar 08, 2020","San Marino: Law decree containing urgent containment measures for coronavirus published in official gazette.Article 5(2) of the Law Decree provides that the collection of personal data carried out in the framework of the surveillance activities referred to in the Law Decree, as well as within the activities of the Emergency Coordination Health Group, including police activities, can be carried on the basis of public interest in relation to public health."
220,Italy,"Mar 08, 2020","stop sport activities (gyms, swimming pools, thermal centers)"
888,Egypt,"Mar 08, 2020","Temperature sceening of travellers at airports. Reportedly, Asian tourists were screened"
585,Albania,"Mar 08, 2020","On 8 March 2020, Albania confirmed its first two cases of Coronavirus, a father and son, of which, the son had traveled from Florence, Italy."
1531,US: Connecticut,"Mar 08, 2020",first case confirmed
332,Belgium,"Mar 08, 2020",On March 8th the federal minister of public health mentioned she had a solution for the shortage of masks but she was unwilling to disclose the potential vendor and the amount of masks involved.[12]
355,Bulgaria,"Mar 08, 2020","On 8 March 2020 Bulgaria confirmed its first two cases, a 27-year-old man from Pleven and a 75-year-old woman from Gabrovo. Neither of the two reported having traveled to areas with known coronavirus cases. The man tested positive for the virus after being hospitalized for a respiratory infection, and authorities announced plans to test several people who were in contact with the two individuals.[2] Two other samples in Pleven and Gabrovo were found positive on 8 March.[3] Patient zero remains unknown.[4]"
354,Bulgaria,"Mar 08, 2020",The government issued a nationwide ban on closed-door public events.
548,Czechia,"Mar 08, 2020","On Sunday, 8 March 2020, the Ministry of Health issued an extraordinary measure concerning the ordering of a quarantine for contacts of infected persons. Individual quarantines for contacts of infected people will be newly decided remotely by general practitioners. Hygiene stations will report to GPs and GPs all persons who have been in contact with an infected patient, and remotely decide on a 14-day quarantine."
350,Bulgaria,"Mar 08, 2020","Following the announcement of positive SARS-CoV-2 test results, the Bulgarian government immediately banned the exports of protective equipment and placed orders for masks and protective suits to local manufacturers. In addition, 30,000 masks and 50,000 protective suits will be delivered by Turkey"
134,Hong Kong,"Mar 08, 2020","Since March 8, 2020, all inbound travellers via Hong Kong International Airport are required to submit health declaration form. To be environmental friendly, travellers are encouraged to submit the form online. After submitting the online form, the system will generate a QR code. Please save the result and show it to the border control point staff upon entering Hong Kong. The QR code is valid for 24 hours."
529,Romania,"Mar 08, 2020","The Head of the Department for Emergency Situations, Raed Arafat, announced a ban on all indoor or outdoor activities that involve the participation of more than 1,000 people."
1165,Spain,"Mar 08, 2020","Police have been deployed to lock down entire blocks of a neighbourhood in Haro,"
1393,US:New York,"Mar 08, 2020","New York City issued new commuter guidelines amid the current outbreak, asking sick individuals to stay off public transit, encouraging citizens to avoid densely packed buses, subways, or trains"
1289,Qatar,"Mar 08, 2020","Qatar imposed a temporary ban on arrivals from Nepal and other countries, affecting almost 40,000 labour migrants with valid work permits who were yet to leave."
1417,US:New York,"Mar 08, 2020",only medically necessary visits would be allowed at nursing homes
790,Albania,"Mar 08, 2020","lbanian Health Minister Olgeta Manastirliu announced that anyone entering Albania from quarantined areas of Italy will have to self-isolate, or face punishment if they fail to do so"
792,Albania,"Mar 08, 2020","halted all schools for two weeks,"
402,Hungary,"Mar 08, 2020",Since 8th March visiting someone in a hospital or in any social institution which provides long term staying is prohibited.
784,Italy,"Mar 08, 2020","Riots broke out in many penitentiaries throughout Italy after restrictions on conjugal visits were imposed by the government in the 8 March decree. Nine prisoners died in Modena and three in Rieti, while 76 detainees escaped from Foggia's penitentiary.Two prison agents were assaulted and kidnapped in Pavia. On 9 March in Bologna, detainees took control of the Dozza penitentiary, forcing personnel to exit the building. On 11 March, two prisoners were found dead in Bologna's penitentiary."
791,Albania,"Mar 08, 2020","ordered cancellation of all large public gatherings, and asked sports federations to cancel scheduled matches"
793,Albania,"Mar 08, 2020","On 8 March, the government stopped all flights and ferries with quarantined areas of northern Italy until 3rd April,"
222,Italy,"Mar 08, 2020",stop religious activities
219,Italy,"Mar 08, 2020",avoiding moves from place of residence
221,Italy,"Mar 08, 2020","stop cultural activities (cinemas, theaters, museums, pubs, game halls, discos)"
223,Italy,"Mar 08, 2020",stop exhibitions
224,Italy,"Mar 08, 2020",school facilities of all levels are closed.
1285,US:New Jersey,"Mar 08, 2020",Several schools and school districts announced closings or schedule modifications by the 8th due to the impact of the virus
770,Italy,"Mar 07, 2020","In the night between 7 and 8 March, the government approved a decree to lock down Lombardy and 14 other provinces in Veneto, Emilia-Romagna, Piedmont and Marche, involving more than 16 million people."
404,Hungary,"Mar 07, 2020","Gergely Karácsony, Lord Mayor of Budapest announced that celebration at the town hall are cancelled as well"
471,Ireland,"Mar 07, 2020",St Patrick's Day parades have also been called off due to the fear of the virus spreading further
788,Italy,"Mar 07, 2020","The decree also established the closure of all gyms, swimming pools, spas and wellness centres."
782,Italy,"Mar 07, 2020","The decree imposed the closure of museums, cultural centres and ski resorts in the lockdown areas and the closure of cinemas, theatres, pubs, dance schools, game rooms, betting rooms and bingo halls, discos and similar places in the entire country"
1179,Switzerland,"Mar 07, 2020",The estimate is provided without further source. We could not confirm it in any other official statement
1017,US: Virginia,"Mar 07, 2020",first case recorded
397,Hungary,"Mar 07, 2020",National Ambulance Service has provided more ambulances across the country to make easier the handling of increasing patients
769,Italy,"Mar 07, 2020","The decree ""absolutely avoided any movement into and out of the areas"" and, like the previous one, it provided sanctions of up to three months in prison for those who violated the lockdown. It was possible to move into and out of the areas only for emergencies or ""proven working needs"", which must be authorized by the prefect."
1206,Netherlands,"Mar 07, 2020",
893,Egypt,"Mar 07, 2020",qurantined passangers of MS River Anuket cruise ship where 45 people had tested positive
389,Hungary,"Mar 07, 2020",announced that due to security reasons central national ceremonies related to the national holiday of 15th March would not be held
781,Italy,"Mar 07, 2020","Civil and religious ceremonies, including funeral ceremonies, were suspended. All organized events were also suspended, as well as events in public or private places, including those of a cultural, recreational, sporting and religious nature, even if held in closed places.This measure was described as the largest lockdown in the history of Europe, as well as the most aggressive response taken in any region beyond China, and paralysed the wealthiest parts of the country as Italy attempted to constrain the rapid spread of the disease."
1394,US:New York,"Mar 07, 2020",Governor Andrew Cuomo declared a state of emergency
499,Moldova,"Mar 07, 2020","The first coronavirus case in Moldova was announced on 7 March 2020. The infected person is a 48-year-old woman who had just returned to Moldova from Italy. She had been taken to hospital immediately from the plane, being in a serious condition: bilateral bronchopneumonia, acute respiratory failure, fever, cough, general weakness. She suffers from a few chronical illnesses: diabetes, overweight and hypertension"
1662,US:Kentucky,"Mar 07, 2020","COVID-19 hotline, website, and operations center"
509,Malta,"Mar 07, 2020","On 7 March, Malta reported its first 3 cases of coronavirus: an Italian family consisting of a 12-year-old girl and her parents, who arrived in Malta on 3 March from Rome after a holiday in Trentino. The girl was the first case, with the parents testing positive for the coronavirus later in the day. They had been in self-quarantine since arriving from Italy, and they are now held in isolation at Mater Dei Hospital."
1044,Palestine,"Mar 07, 2020",The city of Betlehem is locked down.
783,Italy,"Mar 07, 2020","Shopping centres had to be closed on weekends, while other commercial activities could remain open if a distance of one metre between customers could be guaranteed"
1269,Nepal,"Mar 07, 2020","Nepal announced suspension of visa-on-arrival service for nationals of five countries badly affected by COVID-19 – China, South Korea, Japan,Italy and Iran – to be enforced from 7 to 30 March."
938,Denmark,"Mar 06, 2020","Among others, football (including the Danish Superliga) and handball matches were without spectators or entirely cancelled, the Dansk Melodi Grand Prix did not have an audience, concerts and conferences were cancelled or postponed, and the Euroschoolsport tournament at Esbjerg High School where students and teachers from much of Europe were supposed to meet was cancelled"
1655,US:Kentucky,"Mar 06, 2020",state of emergency was declared
1429,US: Pennsylvania,"Mar 06, 2020","On March 6, Governor Tom Wolf reported Pennsylvania's first two confirmed cases of COVID-19 in Delaware County and in Wayne County"
959,US: Indiana,"Mar 06, 2020","On March 6, Indiana health officials announced the first case of COVID-19 in Indiana. The first case was a Marion County (Indianapolis) resident who had attended the BioGen conference in Boston"
932,Denmark,"Mar 06, 2020","On 6 March, Aarhus University Hospital made a ""drive-through"" test facility (similar to those used in South Korea) where a person can be tested without having to leave his/her verhicle, but people using it still have to phone their personal doctor or the doctor-on-call (Danish: Lægevagten) for instructions first."
394,Hungary,"Mar 06, 2020","On 6th March, it was decided that no more visas would be issued for Iranian citizens"
316,Spain,"Mar 06, 2020","the Spanish Episcopal Conference indicated that churches should remove the holy water from the pillars, avoid the gesture of shaking hands as a way of giving peace, and not kiss religious images"
1395,US:New York,"Mar 06, 2020","On March 6, eleven new cases were reported bringing the state caseload to 33.[15] All the new cases were tied to the first community transmission case"
555,Iran,"Mar 06, 2020",Extension of school and universities closures
519,Slovakia,"Mar 06, 2020","The first coronavirus case in Slovakia was confirmed. It was a person-to-person spread, his son was in Venice, Italy. His son tested positive on the next day, and didn't show any symptoms before."
343,Bosnia and Herzegovina,"Mar 05, 2020","On 5 March 2020, health officials from Republika Srpska confirmed the first case of COVID-19 in the country. Later the same day, the second case was confirmed. These cases refer to the father and son who have contracted the virus after they visited Italy not long ago.[1]"
546,Czechia,"Mar 05, 2020",The National Security Council has also decided that the World Biathlon Cup race in Nové Město na Moravě on 5 - 8 March 2020 will be without spectators - a protective measure for this sporting event.
772,Italy,"Mar 05, 2020","On 5 March, when the newly appointed Emilia-Romagna regional minister of health, Raffale Donini, tested positive for COVID-19, Governor Stefano Bonaccini appointed Sergio Venturi as commissioner for the emergency. Venturi was the regional minister of health until February 2020."
1534,US: Connecticut,"Mar 05, 2020","On March 5, over 200 people in Connecticut were advised to self-monitor for symptoms"
1045,Palestine,"Mar 05, 2020",Mosques and churches are closed for one month.
1371,South Africa,"Mar 05, 2020",First case
1049,Palestine,"Mar 05, 2020",The Palestinian government declared a state of emergency in the West Bank on 5 March.
1557,US:Colorado,"Mar 05, 2020",First two cases reported
1587,US: Massachussets,"Mar 05, 2020","cases began growing rapidly on March 5, with most traceable to a Biogen conference held in at the Marriott Long Wharf hotel in Boston from February 26–28"
116,Hong Kong,"Mar 05, 2020","Quotes Xu Deyi, deputy director of the Food and Health Bureau. “as of March 5, 5,271 laboratory samples have been completed, of which four were confirmed cases”"
1034,US:Maryland,"Mar 05, 2020",Hogan raised the state's emergency activation system to activate the Maryland National Guard
1102,Palestine,"Mar 05, 2020",First case confirmed in the West Bank.
1056,Palestine,"Mar 05, 2020",School and universities are closed.
553,Czechia,"Mar 05, 2020","On Monday, March 2, 2020, the Security Council met. With effect from 5 March for 14 days, it suspended air connections to areas in northern Italy and South Korea. Following this decision, the Minister of Health issued appropriate safeguards: suspension of flights from northern Italy and suspension of flights from South Korea."
688,US:Washington,"Mar 05, 2020","Air Force Two delivered 100,000 air-filtering N95 respirators, 100,000 surgical masks and 2,500 face shields"
25,South Korea,"Mar 05, 2020",Discourage people to participate in group and indoor activities and all workforces nationwide- work remotely 
980,US:Maryland,"Mar 05, 2020",first positive cases
981,US:Maryland,"Mar 05, 2020",state of emergency
554,Czechia,"Mar 05, 2020","On Thursday 5 March 2020, the Ministry of Health issued an emergency measure prohibiting all persons, with the exception of manufacturers, from the territory of the Czech Republic from exporting all personal hygiene products intended for hand disinfection, except for a reasonable amount for personal use."
1025,US:Delaware,"Mar 04, 2020","in preparation for the coronavirus' spread in Delaware, the Delaware Division of Public Health opened a coronavirus call center at its State Health Operation Center in Smyrna to assist with questions that businesses, schools, and people may have about the disease"
735,Germany,"Mar 04, 2020",medical protective equipment is generally no longer allowed to be exported abroad
773,Italy,"Mar 04, 2020","The same day, the government ruled that all sporting events in Italy would be played behind closed doors until 3 April."
1405,US:New York,"Mar 04, 2020",the number of cases in New York increased to 11 as nine people linked to the second positive patient tested as positive
609,Russia,"Mar 04, 2020","Russia has temporarily banned the export of medical masks, gloves, bandages and protective suits."
551,Czechia,"Mar 04, 2020","On Wednesday, March 4, 2020, the National Security Council again met and the Ministry of Health subsequently adopted an extraordinary measure ordering all organizers of mass events in the Czech Republic with an expected attendance of more than 5,000 people a day to notify such events to the local regional health office."
78,Slovenia,"Mar 04, 2020",The first case was officially confirmed. It was imported case from by a tourist traveling from Morocco via Italy.
517,Poland,"Mar 04, 2020",The Ministry of Health informed about the first case of SARS-CoV-2 infection in Poland.
308,Azerbaijan,"Mar 04, 2020","On 4 March, Azerbaijan stopped letting trucks and imports coming from Iran to enter the country.[4]"
1284,US:New Jersey,"Mar 04, 2020",Governor Phil Murphy and Lieutenant Governor Sheila Oliver released a joint statement announcing the state's first case
1291,Nepal,"Mar 04, 2020","Due to a severe shortage of face-masks and protective gear as well as increase in price following a ban on export in China and India, some hospitals were reported to be sewing plain clothes masks as a precaution. A shortage of hand sanitisers was also reported."
640,US:California,"Mar 04, 2020",statewide state of emergency
335,Belarus,"Mar 04, 2020","On 4 March, the Ministry of health of Belarus confirmed 6 new cases of the disease. Four cases in Minsk, two cases in Vitebsk.[5]"
953,Singapore,"Mar 04, 2020","Visitors from Iran, northern Italy, South Korea banned"
771,Italy,"Mar 04, 2020","On 4 March, the Italian government imposed the shutdown of all schools and universities nationwide for two weeks as the country reached 100 deaths from the outbreak."
